samsung bataryası iyi olan -> price:any; brand:samsung; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
fotograf icin 256 gb hafiza -> price:any; brand:none; os:none; usage:photo; ram:none; storage:256; battery:good; camera:none; screen:none;
telefon öner -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun için telefon -> price:any; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
iyi kameralı telefon -> price:any; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
bütçe 10000 tl -> price:10000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçe 3000 tl -> price:3000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçe 4000 tl -> price:4000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçe 5000 tl -> price:5000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçe 5500 tl -> price:5500; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçe 6000 tl -> price:6000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
android telefon istiyorum -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
iphone 128 gb -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:128; battery:none; camera:none; screen:none;
iphone iyi hafıza iyi batarya -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
samsung oyun telefonu -> price:any; brand:samsung; os:android; usage:game; ram:8; storage:none; battery:none; camera:none; screen:none;
xiaomi kamerası iyi olan -> price:any; brand:xiaomi; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
uzun pil ömrü olan telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
8 gb ramli android -> price:any; brand:none; os:android; usage:none; ram:8; storage:none; battery:none; camera:none; screen:none;
256 gb hafızalı telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:256; battery:none; camera:none; screen:none;
20000 tl civarı android telefon -> price:20000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun oynamak için iphone -> price:any; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
fotoğraf çekmek için xiaomi -> price:any; brand:xiaomi; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
bataryası iyi 128 gb telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:128; battery:good; camera:none; screen:none;
6 gb ramli oyun telefonu -> price:any; brand:none; os:none; usage:game; ram:6; storage:none; battery:none; camera:none; screen:none;
ekranı büyük android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good;
bütçem 18000 tl android fotoğraf telefonu -> price:18000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
bütçem 22500 tl android fotoğraf telefonu -> price:22500; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
hızlı oyun oynayabileceğim android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
iyi depolama ve batarya samsung -> price:any; brand:samsung; os:android; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
15000 tl altında kamerası iyi telefon -> price:15000; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
iphone için iyi kamera -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
25000 tl gaming telefon android -> price:25000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
bataryası iyi iphone -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
16 gb ramli telefon -> price:any; brand:none; os:none; usage:none; ram:16; storage:none; battery:none; camera:none; screen:none;
hafızası iyi olan ve bataryası uzun giden telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
samsung fotoğraf ve oyun için -> price:any; brand:samsung; os:android; usage:game; ram:none; storage:none; battery:none; camera:good; screen:none;
xiaomi 128 gb hafıza -> price:any; brand:xiaomi; os:android; usage:none; ram:none; storage:128; battery:none; camera:none; screen:none;
android telefon 8 gb ram 256 gb hafıza -> price:any; brand:none; os:android; usage:none; ram:8; storage:256; battery:none; camera:none; screen:none;
bütçe 10000 tl android telefon -> price:10000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçe 50000 tl android telefon -> price:50000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçe 50000 tl android telefon oyun için -> price:50000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçe 50000 tl android telefon fotoğraf için -> price:50000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçe 50000 tl samsung telefon fotoğraf için -> price:50000; brand:samsung; os:android; usage:photo; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçe 50000 tl iphone telefon -> price:50000; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun için uygun fiyatlı android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
profesyonel fotoğraf çekmek için iphone -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
şarjı iyi giden samsung telefon -> price:any; brand:samsung; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
hızlı ve güçlü android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 tl oyun için android telefon -> price:15000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
iyi bir ekranı olan android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good;
apple telefon 128 gb depolama -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:128; battery:none; camera:none; screen:none;
hafızası yüksek android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none;
20000 tl kamera ve batarya iyi olan telefon -> price:20000; brand:none; os:none; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none;
